time,y_1,y_2,width,y
690,5.4311111111,4.6339999999999995,3,5.5142857143
970,12.4914285714,13.72875,3,12.7
1130,7.807,8.328,2,6.728
435,7.042999999999999,7.13,3,6.685
575,6.072222222200001,5.818,3,6.129
740,7.452000000000001,7.455,2,7.122000000000001
950,15.434000000000001,16.211,3,13.345
1055,16.7071428571,14.845555555599999,3,14.1922222222
1425,1.077,1.485,2,1.139
550,8.273,6.96,2,9.945
850,8.984,8.81,3,8.87
1165,8.1,8.221,2,6.343999999999999
450,7.073333333300001,4.69,3,7.682
205,0.42666666670000003,0.735,3,0.3342857143
560,10.695,10.449000000000002,3,9.998
565,10.767000000000001,10.311,3,11.561
515,13.529000000000002,12.377,3,12.283
530,10.195,11.962,2,13.527999999999999
525,12.595,13.345,3,12.157
350,6.55,6.55,3,7.117000000000001
1050,15.978,12.905999999999999,2,11.995
585,4.789,6.129,3,5.0177777778
705,10.482000000000001,9.361,3,10.777000000000001
1095,12.165,12.815,3,11.629000000000001
1425,1.4669999999999999,1.155,2,0.9620000000000001
980,12.8644444444,12.7,3,12.9688888889
685,4.6339999999999995,6.876666666699999,3,5.4311111111
620,9.656,8.762,3,9.235
360,8.221,9.316,3,7.022
1100,9.55,9.728,2,8.123
490,11.189,6.8839999999999995,2,9.282
1030,14.705,14.594000000000001,3,13.65
1040,13.144,16.671,2,12.905999999999999
930,20.905,20.756,3,22.055
1075,10.507,10.960999999999999,2,13.07
500,7.0688888889,4.1844444444,3,4.845
10,1.2,1.51,3,0.733
560,10.145,7.434,2,9.655
90,0.512,0.579,3,0.618
320,5.566,5.316,3,8.094
20,0.895,1.15,3,1.0270000000000001
140,0.5720000000000001,0.6609999999999999,3,0.506
370,7.127000000000001,6.556,2,11.372
535,11.927,13.162,3,11.977
1125,10.377,9.922,3,10.377
190,0.16699999999999998,0.539,3,0.517
240,0.945,1.085,3,1.25
110,0.7340000000000001,0.395,3,1.063
1180,7.577000000000001,9.265,3,6.766
1050,13.944,13.774000000000001,2,13.195
375,9.927999999999999,8.855,3,9.705
1200,5.655,5.4733333333,3,5.817
370,7.36,7.022,3,9.417
1075,13.594000000000001,13.594000000000001,3,13.288
1355,3.01,3.555,3,2.627
1230,5.033,4.828,3,4.195
800,16.19,12.777999999999999,3,14.785
105,0.37,0.161,2,0.228
1165,6.415,6.415,3,6.333333333300001
330,4.499,4.499,3,5.0885714286
1225,8.123,6.955,3,5.655
1105,8.99,11.629000000000001,3,9.9
1335,5.132999999999999,4.461,3,4.64
960,11.5677777778,11.3257142857,3,12.9225
1205,5.1666666667,5.1666666667,3,5.5555555556
1330,2.1,1.6280000000000001,2,1.8980000000000001
545,10.962,11.977,3,9.806000000000001
1300,6.577999999999999,6.082999999999999,3,7.85
405,12.607000000000001,10.800999999999998,2,11.0
890,16.055,14.667,3,14.783
280,2.14125,2.029,3,2.472
1320,3.3569999999999998,3.3,3,2.85375
255,1.551,1.344,3,1.55
410,7.205,7.205,3,5.939
0,0.6890000000000001,0.823,2,0.7659999999999999
130,0.156,0.156,3,0.4457142857
20,0.98,0.733,3,0.9490000000000001
155,0.623,0.623,3,0.07200000000000001
1125,9.317,9.222999999999999,2,8.662
575,11.667,12.687999999999999,3,10.222000000000001
325,3.8339999999999996,2.263,3,5.0055555556
840,8.7,7.461,3,7.632999999999999
610,9.727,8.795,3,9.717
370,7.627000000000001,8.022,2,10.828
605,4.0857142857,7.22875,3,4.895
1275,7.4670000000000005,8.405,3,8.155
45,0.9390000000000001,0.366,3,1.133
790,11.139000000000001,11.433,3,10.016
1360,2.49,2.967,2,3.077
995,11.7575,15.1025,3,13.54875
665,7.627999999999999,6.612,2,9.339
430,5.2966666667,5.2966666667,3,7.289
510,6.249,4.845,3,3.8014285714
425,6.0911111111,6.0911111111,3,5.2966666667
970,17.055999999999997,25.218000000000004,3,23.078000000000003
680,6.095,5.25625,3,6.3955555556
445,5.8825,5.8825,3,6.3229999999999995
225,1.034,1.123,3,1.195
215,0.9644444444,0.3342857143,3,0.9057142856999999
550,8.417,8.245,2,7.434
920,9.333,10.689,3,9.865
570,10.470999999999998,11.572000000000001,3,10.499
1285,5.1339999999999995,4.277,2,3.366
55,0.42,0.7583333333,3,0.7371428570999999
1425,1.242,1.242,3,1.028
1125,8.81,8.5722222222,3,8.925
850,9.606,9.122,2,8.966000000000001
